year,ak_skate,arrowtooth,gr_turbot,halibut,kamchatka,lg_sculpins,oth_skate,pcod,sablefish
1982,59893.6898,118901.4354,459988.2883,66699.60304,,293602.6955,68135.40741,2287977.365,366208.4817
1983,76098.72637,172449.4285,344878.3535,85286.98721,13891.28028,254488.0855,52647.50036,2667216.921,899253.5558
1984,152737.2079,272466.7848,249788.7321,101163.2198,16458.16847,219985.2676,7554.588283,2282638.082,480832.7153
1985,121056.6532,277166.9677,115264.4065,78497.19179,25.87124549,166330.0801,7117.780877,2253630.876,947254.6891
1986,96556.90611,378401.3556,79255.14373,92531.53549,,277542.3242,99425.13093,2513240.36,829653.1134
1987,162986.6453,481375.2481,153879.3207,91576.89969,34.77423588,172189.4259,112893.8694,2318925.003,139893.957
1988,194299.7918,497177.3718,174374.639,114578.0281,11075.68895,207437.5963,97642.28284,2158024.566,18208.27549
1989,316028.229,576345.084,131667.2676,83883.53686,12603.64733,189437.7002,33051.55484,1874564.979,
1990,414990.4585,683241.7949,211808.1303,92363.56725,26196.63699,192044.534,602.3242515,1561405.468,15927.16234
1991,326693.8254,496493.3434,158615.7026,106352.4041,29456.95315,246233.13,48590.82211,1167607.846,17492.18513
1992,336163.0377,587783.7147,359037.6829,105810.3747,35065.25417,205428.4222,528.7665945,1191929.976,15184.69225
1993,325130.4716,764394.5629,454278.8611,174356.8995,30766.87381,192411.173,112.2553097,1490542.383,8150.466143
1994,337382.3732,807459.9012,729479.9943,173943.7368,41946.57932,235265.846,111.3567533,3070904.118,
1995,303023.5633,770587.4536,520156.5395,166188.3755,22685.26843,199595.1109,178.3152219,2265758.85,
1996,291212.4234,905631.7369,453024.0617,177356.3509,19420.04393,171057.4349,47804.09495,2002982.06,
1997,276043.2287,781678.1454,436568.1097,151213.6276,14667.8779,193138.5555,50782.19261,1361434.661,2079.830536
1998,299395.6904,586646.0222,421232.211,176972.6872,18804.89015,176769.8198,6715.795765,1197145.664,22540.87186
1999,275128.5271,415594.8603,303401.0049,139877.5493,15166.09709,130086.7196,21034.22455,1283330.143,9739.59493
2000,260532.6529,542277.5101,342570.6354,128236.2189,17319.26688,145345.0823,17329.65896,1187149.414,
2001,348598.7701,642803.5645,378812.4947,152322.2155,24862.80744,129322.3346,12481.38708,1819421.986,22610.74565
2002,301276.0086,531434.7105,321703.9282,110051.8523,18711.68653,157898.5348,13179.26782,1314831.521,15845.51394
2003,305874.802,847108.7881,353580.2189,147822.0251,21331.71966,174783.9219,22988.73421,1330426.375,16135.96058
2004,348925.8582,880402.1499,316497.3887,139232.1979,23520.60181,190120.9309,10203.55104,1268528.735,8041.682325
2005,400746.3907,1114814.112,241443.4284,143005.6455,36230.05368,202247.0472,14531.69574,1353767.948,63347.3604
2006,367635.1104,1024317.651,261009.2874,168964.7391,47578.83359,185244.0071,12995.79327,1165199.136,2050.695007
2007,391367.5015,817339.989,193133.181,155824.1411,50997.32981,193686.5306,12236.89811,956639.4736,1911.80896
2008,300869.0981,898037.9612,171938.0771,151525.7638,43179.96357,186277.6243,13803.40302,910746.7188,1301.702394
2009,293999.8796,684898.9161,148851.3973,181602.4905,37638.09377,132001.4472,14148.40494,947856.293,
2010,305355.058,887771.7987,262562.4032,213872.0023,41439.32772,153573.7364,12766.78956,1947940.834,
2011,340188.1818,886678.475,290838.4856,201317.334,33321.59607,157998.7886,12613.29238,2006345.535,
2012,304877.3061,686856.5778,282089.601,203779.1147,32658.12321,135434.2885,11682.12744,2006744.29,
2013,324751.6811,686657.2512,296458.6953,198859.6455,34404.50506,108779.8707,19211.33541,1788578.964,
2014,339427.5203,793648.6047,331039.8853,184479.6244,43323.67867,142673.7856,17207.70564,2423437.107,1284.059141
2015,374972.6637,697246.7875,286297.3678,185376.959,47446.73802,148026.7807,27874.49771,2478904.483,3481.204391
2016,460328.6015,804405.9403,228786.6703,165339.8123,42787.22313,172298.4581,26306.94174,2121992.255,44655.56318
2017,446204.0257,706332.3959,207667.3639,136432.0548,34613.03605,150356.1659,46539.03968,1339692.618,101266.4557
2018,456218.7628,840992.4983,151495.9952,135535.1271,32086.39747,150531.5979,45295.39451,1083730.42,273602.1378
2019,412683.6288,970721.7343,143399.6856,121992.6829,32621.52177,199038.8756,26817.25337,1081325.209,299373.9836
2020,,,,,,,,,
2021,392036.5702,777901.0071,110708.6732,141513.5204,25192.4413,118784.2314,32093.6607,1256453.266,260729.4911
2022,383658.9822,887743.7639,96202.22664,160401.4983,22498.52482,136381.4207,32264.07952,1404347.115,271271.048
2023,352979.6671,788778.1023,60514.5229,183328.5359,18358.09878,102020.2692,57006.75872,1451185.666,319897.1385
