YEAR,AREA_LTE2_KM2,AREA_LTE1_KM2,AREA_LTE0_KM2,AREA_LTEMINUS1_KM2,MEAN_GEAR_TEMPERATURE,MEAN_BT_LT100M,MEAN_SURFACE_TEMPERATURE,npi,ice_ext,pdo,totc
1982,211175,104950,20800,425,2.230059308,1.864992799,5.594791023,1010.602,280293,0.4,1211483
1983,161525,65425,19450,750,2.909015546,3.04336399,8.59759228,1003.46,302066,0.8833,1280285
1984,207575,129700,69625,17650,2.290649616,2.076858751,7.265445132,1006.28,328710,1.4967,1458299
1985,205000,96125,35200,11500,2.361623127,2.330791176,6.614380084,1010.006,282936,0.6633,1649109
1986,257925,151500,71125,28975,1.795409565,1.567824991,5.720614522,1004.794,273052,1,1633911
1987,94475,35675,6400,0,3.069776786,3.150099902,6.849236456,1005.968,287074,1.7433,1639121
1988,205925,106000,57175,20725,2.22655136,2.225139063,6.647132904,1008.134,285035,1.1233,1810470
1989,106025,21975,7450,0,2.868459896,2.940773276,6.790525403,1011.742,298563,-0.7167,1630382
1990,177500,106075,68325,28025,2.274108847,2.372443485,7.172272445,1010.906,313723,-0.3633,1644109
1991,174350,105150,63000,23550,2.495685059,2.825462638,7.855484133,1011.244,325823,-1.42,1647455
1992,242025,172500,102450,48400,1.819563507,1.675863508,6.894429158,1006.456,320923,0.2067,1831954
1993,133375,49475,18450,4875,2.977003108,3.131826267,7.145212836,1008.754,296059,0.3133,1674406
1994,259900,166750,120100,82625,1.521802414,1.411577567,5.611139867,1010.356,317464,0.7433,1818628
1995,274275,187750,100725,61325,1.587052534,1.482529452,6.093389008,1008.562,357572,-0.5567,1745893
1996,99325,40100,13275,600,3.310244508,3.353791377,6.686382183,1007.772,220454,0.7933,1653828
1997,173125,81175,35600,13300,2.653052484,2.577555075,7.902843501,1008.67,265791,0.4733,1641829
1998,100625,19625,4500,0,3.172519014,3.432341101,7.506835694,1005.478,325253,1.7533,1486704
1999,385975,304950,162575,61100,0.701681508,0.322934576,3.885155024,1009.446,349619,-0.46,1318304
2000,236925,88850,32375,16200,2.009296553,2.015867606,6.231377119,1008.446,357519,-1.2867,1497502
2001,175550,71325,31275,11925,2.44266789,2.418534515,5.858251875,1007.084,233725,0.5233,1694671
2002,101575,30175,14650,1850,3.061638647,3.309815321,6.919328895,1009.196,303202,-0.26,1826993
2003,46900,14025,4950,0,3.698086035,3.781104538,7.833024413,1005.066,213179,1.86,1864915
2004,89500,46325,21525,6950,3.245288599,3.416344607,8.431674104,1008.564,234737,0.0367,1874953
2005,85700,50350,27700,12875,3.323640119,3.478112394,7.194162911,1008.15,246560,0.0333,1879673
2006,244375,145725,101425,55300,1.724673312,1.498649583,5.632881894,1010.108,332516,0.6167,1875914
2007,281100,178225,87550,47400,1.679289215,1.518863944,6.464462769,1009.826,275417,-0.0433,1740061
2008,345200,213075,97900,57525,1.179694744,0.969212879,4.283411355,1009.304,329720,-0.9367,1427678
2009,320075,197050,139775,54950,1.269279247,1.039639804,4.678198259,1013.466,350421,-1.28,1198523
2010,269125,181500,130775,64425,1.443091443,0.987893806,5.32046209,1006.49,351966,0.56,1206215
2011,167875,87000,37625,8175,2.359419331,2.29921529,5.067307363,1011.132,249895,-1.34,1721573.656
2012,368825,270975,155150,68975,0.916740184,0.683749025,5.053361102,1010.324,423280,-1.55,1754209.721
2013,258450,163200,92825,57200,1.730687289,1.640439272,6.384187998,1010.312,362409,-0.8,1830448.402
2014,128100,73775,35000,9275,3.050446628,3.298725378,8.21330925,1009.804,234357,-0.63,1846800.669
2015,122600,89575,62575,29025,3.182685989,3.353005546,7.17561294,1007.862,197687,1.7533,1814740.585
2016,89225,31925,19350,8225,4.225743101,4.865912015,9.545334645,1006.588,229818,1.27,1867072.21
2017,169150,99975,39050,14025,2.700067203,2.582911566,7.957240158,1010.256,183960,0.6633,1853998.616
2018,6150,0,0,0,4.15605877,4.504969051,7.583694598,1012.978,96622,0.1567,1836514.976
2019,26625,8100,550,0,4.371127128,4.868916235,9.218554088,1009.398,143310,-0.0467,1838057.127
2020,42800,11512.5,2675,0,3.859852679,4.248369978,8.215722049,1011.762,226707,-0.5733,1771133.772
2021,58975,14925,4800,0,3.348578229,3.627823721,7.212890009,1010.636,227375,-0.72,1696582.22
2022,178625,107300,45000,12075,2.560781716,2.650873714,7.461549428,1010.524,288117,-1.8867,1513578.302
2023,179550,110875,62400,26550,2.284987825,2.170430475,6.336811527,1011.92,243431,-1.3333,1676744.935
