year,apex_pred,benthic_forager,motile_epifauna,pelagic_foragers
1982,3721406.966,5877985.1,7463435.695,9455648.539
1983,4566210.839,5795778.451,6208243.684,13545004.72
1984,3783624.767,5693131.845,5242558.814,11616155.05
1985,3966344.516,4163693.55,2717470.822,9892110.286
1986,4366605.87,4143986.843,3195169.837,12374740.17
1987,3633755.143,5039372.326,6047239.153,11399184.93
1988,3472818.241,5485081.495,7121649.22,17346270.87
1989,3217581.999,5245505.497,7059735.516,13880148.37
1990,3198580.076,5315558.479,7884110.697,17005350.62
1991,2597536.212,5641909.758,7270495.83,13053323.16
1992,2836931.922,5879519.501,6285228.428,13457252.21
1993,3440143.946,5991278.798,6438982.4,24456528.04
1994,5396493.906,7136353.515,6206474.866,15297958.72
1995,4248173.477,5585567.118,6593848.149,17449214.24
1996,4068488.207,5670923.28,5742343.921,8751222.577
1997,3267606.229,6604129.786,6717277.555,13951114.85
1998,2906223.652,5850819.732,6154662.78,7402922.26
1999,2593358.721,4114076.489,5267089.046,8453932.026
2000,2640760.439,4754940.319,5559931.944,11485663.93
2001,3531236.305,5278162.407,6343488.964,9624415.589
2002,2784933.024,5121117.086,6055359.917,11179664.37
2003,3220052.545,5485266.752,6862199.066,19662527.84
2004,3185473.096,6117401.175,7130419.405,11749571.83
2005,3570133.681,6557144.437,8498199.755,12321456.42
2006,3234995.252,6150028.943,8272467.01,7499352.228
2007,2773136.854,5681277.086,7684912.284,8938075.058
2008,2677680.312,5594939.696,6550638.6,7642071.242
2009,2440996.922,4640188.788,6316915.59,5938436.493
2010,3825281.95,5872404.502,7881856.09,10926850.34
2011,3929301.689,5894100.025,8412480.079,9375347.45
2012,3664121.429,5256788.356,8851048.692,11012759.33
2013,3457701.948,5257721.162,8577517.023,13917452.6
2014,4276521.971,5635478.31,8106458.532,15735952.74
2015,4249627.482,4368222.261,8641964.498,17440351.05
2016,4066901.466,5403136.322,9517015.132,11087043.58
2017,3169103.155,5525017.805,9673499.29,10468381.01
2018,3169488.331,4063447.555,9610743.459,10707322.44
2019,3287974.575,4192007.729,8836938.598,11138357.32
2021,3115412.862,4031802.28,8581455.879,5998347.101
2022,3394768.659,4741004.761,8661674.638,10234921.54
2023,3334068.759,4061328.769,7700367.614,6725596.112
