year,atka,capelin,eulachon,herring,misc_fish_shallow,oth_managed_forage,oth_pelagic_smelt,pollock,salmon_returning,sandlance,scyphozoid_jellies
1982,5009.180426,877286.5497,177540.0603,22133.28493,190129.551,230311.2772,65008.81441,5177247.928,41781.81346,2643516.118,25683.96151
1983,56347.2181,686783.2297,172617.2476,692789.6319,224882.6522,59716.88818,31038.2563,10788389.75,38276.2726,746687.5061,47476.0671
1984,70764.63479,903042.3048,369464.135,151863.584,131474.6457,78982.23352,14553.24232,8252332.09,65918.55899,1508885.2,68874.42207
1985,13073.81587,561616.9326,48922.14865,308363.5254,89092.53534,117281.4694,14023.84278,8269613.979,15546.45827,394685.0611,59890.51671
1986,29399.21437,2267400.611,140655.4456,73500.82711,93238.10711,30345.00408,,8684249.625,34971.29214,957509.7242,63470.32027
1987,,315026.2087,90990.82819,71890.78039,170185.0794,50891.48278,1212.894351,9326088.987,22218.3743,1268327.013,82353.2806
1988,40111.65037,903298.7828,80875.76328,1373032.461,297434.7419,101662.5767,167135.8933,12674407.83,31637.56068,1623656.034,53017.57295
1989,7572.575812,191933.9703,58633.34545,67491.70246,249900.3105,369340.1955,,10764663,,2118702.783,51910.48934
1990,51568.94037,1452628.059,103835.6542,32758.53217,417809.5882,519033.6054,29298.38477,12945898.42,,1366118.389,86401.04488
1991,54635.64869,568523.6114,305472.0897,303642.2656,520341.3362,514191.1506,253446.5017,9041139.642,78916.96738,1260164.801,152849.1502
1992,39965.59326,1786279.764,144539.5293,83795.09407,330170.6509,1292092.133,40814.20457,7808400.209,35858.44495,1661157.776,234178.8068
1993,6757.005845,7759622.457,115959.3428,1309821.181,352440.8268,2383740.876,22752.81165,9451593.651,20355.68366,2757663.799,275820.408
1994,20500.06634,502381.9046,243908.4618,319454.2178,316879.3558,357248.378,13610.26348,9023469.24,240000.0741,3891802.995,368703.7676
1995,97441.3992,940086.5321,232910.9521,495706.1811,206769.6298,70786.44042,15511.24859,9845758.33,21448.77965,5259955.126,262839.6218
1996,,120768.38,183992.9485,221012.2519,195991.4253,107045.0572,81375.65947,5248606.609,442312.2634,1818420.936,331697.0462
1997,81645.80525,501645.1987,339477.0542,327962.8249,297347.4523,96181.06969,67890.71249,5243445.646,,6544675.94,450843.1439
1998,35677.87125,135423.6287,213925.8785,135915.2208,199169.135,624355.7501,64529.18489,3833020.679,187389.6686,1658343.798,315171.4444
1999,82646.67594,569867.9631,89902.88197,209528.4719,133136.6642,50143.80536,609.6583684,6574221.229,71803.93148,263852.7466,408217.9978
2000,4613.702614,720048.5118,210567.9055,289958.0157,131463.015,29247.02613,921.383198,9018108.094,57006.78559,265062.614,758666.8771
2001,37714.43396,463883.2371,193244.0716,448444.6919,171273.4672,371757.2269,898.4439114,7548817.178,52563.09865,143552.8561,192266.8837
2002,217447.9981,407337.9593,218722.9689,111612.0991,216425.7829,532739.8884,,8648091.249,20361.80487,651494.8879,155429.7358
2003,38280.18527,901003.5689,115161.5705,451638.4846,213460.3998,2897531.069,365.4687097,14772290.75,17672.8734,132481.707,122641.762
2004,260939.8598,1855271.737,142662.8123,804569.1676,238259.7318,763003.4305,97248.93947,6776021.058,397358.6484,266846.1859,147390.2597
2005,519930.4179,192065.724,78950.69892,1065526.995,273399.148,1125247.254,,8484144.988,100132.9199,329706.5922,152351.6798
2006,159886.4572,850439.9681,92865.03626,210454.7468,231827.0516,134007.2993,38.17361545,5127528.495,169619.6575,439358.5027,83326.83999
2007,124614.2112,147772.0528,187884.377,254105.4085,220570.3608,74674.76916,27040.73739,7487042.491,21999.17165,272278.2683,120093.2095
2008,70567.26859,561504.6612,18773.03143,741945.639,225349.574,420581.4709,1588.039019,5149227.625,13403.77463,328810.0228,110320.1358
2009,108782.3419,628752.8779,50665.85521,22269.82354,176268.4891,212432.114,201.3753594,4051222.198,171412.7518,156368.6836,360059.9822
2010,268020.5799,1740752.62,224626.6955,310603.2654,319597.0692,43426.43593,205.2479625,6459020.528,64105.47153,1117787.248,378705.1775
2011,16441.3139,2149173.072,235806.4063,145472.2868,225256.4078,15894.19158,425.9863373,5265830.997,265968.8758,379082.5421,675995.3705
2012,236421.7574,2740201.716,43721.33105,710506.8697,240567.3203,76138.07593,251.7191993,5922306.507,27120.10462,470073.4554,545450.4739
2013,19337.86922,3110092.961,54202.1735,681593.7088,210244.7172,23633.61867,,7849361.907,26795.76725,1518318.562,423871.319
2014,202854.009,1659335.744,234468.2014,35170.50369,246855.9625,44687.6366,157013.6253,11933365.11,89298.61487,740039.1776,392864.1619
2015,1285346.032,2524794.359,75211.12807,190246.9161,233117.0969,5659.122882,32857.02652,10820093.84,59199.31919,1884050.505,329775.6958
2016,29431.72878,701965.1202,78612.79828,93996.38473,185818.7462,39914.44295,28558.50078,8562273.349,552532.89,747222.7465,66716.86872
2017,444854.6869,275878.7723,25781.62687,495494.4585,134763.7174,28427.18307,85975.18221,8560657.273,165322.9542,171632.8899,79592.26357
2018,3674382.187,24433.28387,28773.41632,912315.1378,113046.58,26424.88891,9009.11757,5504325.924,69976.86909,100532.7007,244102.3392
2019,18253.60719,39063.70668,85394.30243,698254.0739,110204.3807,81281.2377,11054.38023,9092272.67,402027.1117,57181.73329,543370.1134
2020,,,,,,,,,,,
2021,32317.93035,15602.68409,24772.43897,596107.9804,149118.1263,15718.81793,31035.91382,4891687.451,73214.3575,19981.71623,148789.6842
2022,145435.3167,37983.78517,21260.79796,2007625.9,154009.4702,60853.04234,1823.996044,7340407.609,20600.00336,182990.4539,261931.1624
2023,9766.448383,99313.41378,41189.29716,496654.4756,118914.6501,31217.88397,,5515970.283,12397.58808,140112.1831,260059.8892
